City,restaurant_count,avg_rating,avg_votes,avg_cost_for_two,avg_price_range,unique_cuisines
New Delhi,5473,2.4388452402704184,114.80723551982459,596.0880687008953,1.6215969303855289,81
Gurgaon,1118,2.6514311270125224,118.21109123434705,714.0161001788908,1.8559928443649374,71
Noida,1080,2.0362037037037037,68.04444444444445,539.4907407407408,1.6018518518518519,49
Faridabad,251,1.8669322709163347,25.840637450199203,447.60956175298804,1.454183266932271,30
Ghaziabad,25,2.852,94.64,602.0,1.8,14
Guwahati,21,4.190476190476191,236.38095238095238,821.4285714285714,2.5238095238095237,18
Bhubaneshwar,21,3.9809523809523806,202.04761904761904,678.5714285714286,1.8571428571428572,19
Lucknow,21,4.1952380952380945,434.76190476190476,859.5238095238095,2.5714285714285716,18
Amritsar,21,3.6857142857142855,174.52380952380952,480.95238095238096,1.8095238095238095,11
Ahmedabad,21,4.161904761904762,584.0952380952381,857.1428571428571,2.5714285714285716,21
Augusta,20,4.13,395.45,27.0,2.15,25
Abu Dhabi,20,4.3,302.25,182.0,3.3,27
Agra,20,3.965,103.1,1065.0,2.65,14
Albany,20,3.5549999999999997,83.8,19.75,1.7,20
Ankara,20,4.305,131.35,87.25,2.8,13
Athens,20,4.2,637.5,19.0,1.6,20
Auckland,20,4.275,339.75,68.25,3.05,19
Allahabad,20,3.3950000000000005,69.6,517.5,2.65,14
Cape Town,20,4.11,270.75,297.2,3.2,20
Bras�_lia,20,3.495,10.85,120.0,3.1,18
Boise,20,4.26,519.05,27.25,2.05,20
Birmingham,20,3.6799999999999997,69.65,39.0,2.4,20
Bhopal,20,3.95,143.85,620.0,2.15,11
Bangalore,20,4.375,2805.75,1232.5,2.7,19
Aurangabad,20,3.375,64.8,622.5,2.2,15
Cedar Rapids/Iowa City,20,4.165,332.3,25.75,2.05,18
Dubai,20,4.37,934.65,211.75,3.05,20
Dehradun,20,4.05,121.5,727.5,3.05,16
Doha,20,4.0600000000000005,163.8,223.75,3.65,19
Des Moines,20,4.235,554.6,28.0,2.15,24
Dalton,20,4.11,128.05,16.0,1.4,16
Columbus,20,4.029999999999999,269.35,26.75,2.15,21
Coimbatore,20,4.135,210.95,782.5,2.4,21
Chennai,20,4.3149999999999995,1384.75,1085.0,2.45,21
London,20,4.535,436.2,64.5,3.0,19
Gainesville,20,4.035,220.4,21.25,1.75,17
Dubuque,20,3.535,101.05,23.75,1.9,16
Edinburgh,20,4.09,112.3,38.5,2.9,21
Indore,20,3.97,238.85,960.0,2.75,16
Jaipur,20,4.13,552.4,1310.0,2.85,19
Kanpur,20,3.815,94.9,915.0,2.7,18
Goa,20,4.245,754.9,1175.0,3.65,12
Macon,20,4.115,263.6,27.25,2.05,22
Ludhiana,20,3.9799999999999995,143.05,1160.0,2.65,17
Kolkata,20,4.255,2229.65,1272.5,2.85,18
Kochi,20,4.08,359.95,730.0,2.05,16
Manchester,20,4.045,203.8,49.25,2.7,21
Mangalore,20,3.745,218.35,782.5,2.5,14
Davenport,20,3.715,151.1,25.25,2.0,21
Colombo,20,3.87,146.45,2375.0,2.85,18
Rio de Janeiro,20,4.265,20.05,126.75,3.5,16
Savannah,20,4.154999999999999,768.85,32.5,2.35,18
Sharjah,20,4.029999999999999,243.65,105.5,3.3,22
Mumbai,20,4.085,1484.85,1072.5,2.75,26
Nagpur,20,3.965,172.8,715.0,2.3,13
Mysore,20,3.6950000000000003,212.9,814.5,2.45,15
Nashik,20,3.5200000000000005,104.75,662.5,2.8,14
Orlando,20,4.475,1199.45,40.25,2.9,26
Patna,20,3.4549999999999996,76.0,797.5,2.45,13
Pensacola,20,4.2,844.5,30.25,2.35,24
Pocatello,20,3.4850000000000003,130.35,20.75,1.8,24
Pretoria,20,4.1899999999999995,156.3,492.25,3.7,32
Puducherry,20,3.7299999999999995,342.4,842.5,3.0,22
Pune,20,4.220000000000001,1036.6,1337.5,2.95,23
Ranchi,20,3.4549999999999996,90.35,735.0,2.05,11
Rest of Hawaii,20,4.41,752.75,31.75,2.35,12
Vizag,20,4.005,163.85,780.0,2.35,22
Vadodara,20,4.025,186.0,820.0,2.6,14
Valdosta,20,3.715,210.0,29.25,2.25,21
Singapore,20,3.575,31.9,155.75,3.65,29
Surat,20,3.935,183.35,812.5,2.65,16
Sioux City,20,3.7649999999999997,157.8,24.25,1.9,21
S��o Paulo,20,3.53,27.95,157.25,3.6,19
Tampa Bay,20,4.41,1370.35,34.75,2.55,24
Wellington City,20,4.25,146.3,71.25,3.25,17
Waterloo,20,3.65,104.15,21.25,1.75,23
Varanasi,20,3.5100000000000002,86.45,505.0,2.45,12
Chandigarh,18,4.050000000000001,574.6111111111111,1072.2222222222222,2.5,21
Hyderabad,18,4.344444444444445,1340.8333333333333,1361.111111111111,2.888888888888889,24
Jakarta,16,4.35625,742.6875,308437.5,3.0,17
��stanbul,14,4.292857142857143,860.2142857142857,81.42857142857143,2.857142857142857,11
Sandton,11,4.3,491.8181818181818,375.90909090909093,3.8181818181818183,15
