hotspot_cluster,restaurant_count,avg_rating,avg_cost_for_two,center_lat,center_lon,top_city,top_locality
13,2512,2.854578025477707,752.65525477707,28.579837216261943,77.2150240795024,New Delhi,Connaught Place
8,1630,2.1292638036809817,490.9815950920245,28.609393948079752,77.32346751095092,Noida,Shahdara
10,1007,2.707547169811321,728.2025819265144,28.47070025576961,77.07253610744787,Gurgaon,DLF Phase 3
16,816,2.5090686274509806,493.8970588235294,28.64049804324755,77.10438056139706,New Delhi,Rajouri Garden
15,725,2.524137931034483,462.2758620689655,28.69917641449655,77.17712272474483,New Delhi,Pitampura
14,102,1.4264705882352942,784.3137254901961,28.54634543735294,77.1235774727451,New Delhi,Mahipalpur
1,77,1.625974025974026,475.3246753246753,28.48481377142857,77.30193965402597,Faridabad,Sector 37
19,68,2.3058823529411767,471.3235294117647,28.537015657941176,77.29127310455883,New Delhi,Sarita Vihar
24,59,2.1457627118644065,611.0169491525423,28.467099421016947,77.51562549932204,Noida,Greater Noida
25,59,1.9101694915254237,487.2881355932203,28.524670801525424,77.38279097406779,Noida,Sector 110
9,52,3.2365384615384616,691.3461538461538,28.415471036730768,77.04144778807692,Gurgaon,Sohna Road
23,44,1.4159090909090908,302.27272727272725,28.627658929545454,77.13961800954546,New Delhi,Naraina
3,42,2.9357142857142855,472.6190476190476,28.392804499285717,77.32050801142857,Faridabad,Sector 15
21,40,0.0725,247.5,28.610582255000004,76.983120085,New Delhi,Najafgarh
6,39,2.3512820512820514,450.0,28.410453769487177,77.3267247848718,Faridabad,Sector 16
5,23,2.3217391304347825,400.0,28.369831511739132,77.3263695947826,Faridabad,Sector 7
22,22,0.0,227.27272727272728,28.67971589727273,77.06605709136365,New Delhi,Nangloi
26,20,1.285,397.5,28.503919156000002,77.408075052,Noida,Sector 132
20,18,0.1611111111111111,341.6666666666667,28.494457323333336,77.14574625166667,New Delhi,MG Road
29,18,3.7222222222222223,872.2222222222222,11.931032127222222,79.8330171838889,Puducherry,White Town
7,18,1.1333333333333333,427.77777777777777,28.462146434999998,77.29271895055555,Faridabad,Sector 43
2,17,1.4352941176470588,370.5882352941176,28.430926542941176,77.29723416647059,Faridabad,Sector 21
17,13,2.5999999999999996,1503.8461538461538,28.599295453846153,77.19752078461539,New Delhi,"The Ashok, Chanakyapuri"
0,13,3.4153846153846152,488.46153846153845,25.452793053076924,81.83507647769231,Allahabad,Civil Lines
18,12,0.225,400.0,28.497460055833333,77.1631654875,New Delhi,MG Road
28,11,3.463636363636364,745.4545454545455,25.612973213636362,85.14036786636365,Patna,Golambar
4,11,1.3272727272727272,459.09090909090907,28.445094342727273,77.31520132,Faridabad,Sector 31
11,10,4.0600000000000005,1040.0,30.894285829,75.822191747,Ludhiana,"Main Market, Sarabha Nagar"
12,10,3.6799999999999997,740.0,12.873530385999999,74.849432331,Mangalore,Balmatta
27,10,1.1800000000000002,440.0,28.58622664,77.39962408,Noida,Sector 72
31,10,4.08,850.0,22.311468096,73.166965589,Vadodara,Alkapuri
30,9,3.466666666666667,744.4444444444445,23.355706135555558,85.32610477222222,Ranchi,Hindpiri
