feature,importance
Votes,0.6163605237421343
city_bucketed_Other,0.14005526947155392
Average Cost for two,0.09653217583714672
cuisine_count,0.03295754351255028
Price range,0.014103417710111822
hotspot_cluster_8,0.01354080553413113
has_online_delivery,0.011948470654988877
has_table_booking,0.006660828242455133
hotspot_cluster_-1,0.005955821303340131
hotspot_cluster_-2,0.0057130927036371055
hotspot_cluster_15,0.0055915146697425415
city_bucketed_New Delhi,0.005086526344443959
hotspot_cluster_0,0.004656404549458498
hotspot_cluster_19,0.003945982702469136
hotspot_cluster_30,0.0037600889498333716
city_bucketed_Guwahati,0.00321272982046806
hotspot_cluster_17,0.0031458108364805126
hotspot_cluster_24,0.0031146384835802144
city_bucketed_Noida,0.0029188454245118994
hotspot_cluster_9,0.00243079557048779
city_bucketed_Gurgaon,0.002314788595948204
hotspot_cluster_10,0.002306646053727682
city_bucketed_Ghaziabad,0.002294751656009605
hotspot_cluster_34,0.0014229688554422365
hotspot_cluster_22,0.0013602854435039488
city_bucketed_Ahmedabad,0.0010868479047790613
hotspot_cluster_25,0.0008477864168989625
city_bucketed_Faridabad,0.0006666697313161014
hotspot_cluster_6,0.0005853674649443923
hotspot_cluster_18,0.0005563353274791721
hotspot_cluster_16,0.0004907280361236785
hotspot_cluster_2,0.0004585210946812296
city_bucketed_Amritsar,0.00038191650123626836
city_bucketed_Bhubaneshwar,0.0003511675775768593
hotspot_cluster_14,0.0003070050891706184
hotspot_cluster_29,0.00023765740755839323
city_bucketed_Lucknow,0.00023492530721995456
hotspot_cluster_28,0.00021687619057391628
hotspot_cluster_35,0.0001774852223411525
hotspot_cluster_26,0.0001716050653034958
hotspot_cluster_23,0.00016550847622304678
hotspot_cluster_1,0.00016121925159720557
hotspot_cluster_12,0.0001494285546985427
city_bucketed_Cedar Rapids/Iowa City,0.00014900263614913721
city_bucketed_Augusta,0.00014620211972023552
hotspot_cluster_7,0.0001437843617954832
hotspot_cluster_20,0.00010889491225184765
hotspot_cluster_4,9.36406708281292e-05
hotspot_cluster_33,9.241768676772298e-05
hotspot_cluster_21,7.94935847873327e-05
city_bucketed_Boise,7.394741507877122e-05
hotspot_cluster_32,6.769691334005792e-05
city_bucketed_Athens,6.756500995753177e-05
hotspot_cluster_5,5.9587942686723974e-05
hotspot_cluster_3,5.904562714034713e-05
hotspot_cluster_11,4.3393472082017286e-05
hotspot_cluster_31,4.28934487606192e-05
hotspot_cluster_13,4.243847552308571e-05
hotspot_cluster_36,4.00681347003946e-05
hotspot_cluster_27,3.176193723599355e-05
city_bucketed_Albany,2.0388363315140063e-05
